Participant,Expert,Snippet,Linearity,HasError,Scrambled,HitsLine,HitsBlocks,HitsAnswer,VerticalNext,VerticalLater,Regression,HorizontalLater,LineRegression,SaccadeLength,StoryOrder_Naive_Score,StoryOrder_Dynamic_Score,StoryOrder_Dynamic_Repetitions,ExecOrder_Naive_Score,ExecOrder_Dynamic_Score,ExecOrder_Dynamic_Repetitions
24aed847,True,MoneyClass,A,False,False,0.7101449275362319,0.6956521739130435,0.15942028985507245,0.16326530612244897,0.3673469387755102,0.40816326530612246,0.08163265306122448,0.12244897959183673,118.16395470385027,-50,-15,4,-50,-15,4
3319c524,True,MoneyClass,A,False,False,0.5609065155807366,0.5779036827195467,0.014164305949008499,0.15151515151515152,0.3686868686868687,0.3888888888888889,0.12121212121212122,0.11616161616161616,52.62423994101961,-274,-35,18,-274,-35,18
582108f0,True,MoneyClass,A,False,False,0.6916666666666667,0.6666666666666666,0.125,0.21686746987951808,0.2891566265060241,0.30120481927710846,0.2289156626506024,0.1686746987951807,62.70104309339555,-72,-23,6,-72,-23,6
6cd1b570,True,MoneyClass,A,False,False,0.8450704225352113,0.8028169014084507,0.028169014084507043,0.3,0.4,0.3,0.13333333333333333,0.15,73.71173685226081,-58,4,6,-58,4,6
9a12d88f,True,MoneyClass,A,False,False,0.5192307692307693,0.34615384615384615,0.0,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.3333333333333333,129.86103912866986,-20,-20,1,-20,-20,1
b8d2109c,True,MoneyClass,A,False,False,0.8613861386138614,0.9108910891089109,0.039603960396039604,0.21839080459770116,0.2988505747126437,0.3333333333333333,0.16091954022988506,0.19540229885057472,98.75651765984334,-90,-33,7,-90,-33,7
baaa7f91,True,MoneyClass,A,False,False,0.7889908256880734,0.7981651376146789,0.07339449541284404,0.2441860465116279,0.36046511627906974,0.3372093023255814,0.12790697674418605,0.16279069767441862,87.29293411968155,-94,-15,7,-94,-15,7
cf071081,True,MoneyClass,A,False,False,0.7924528301886793,0.6981132075471698,0.09433962264150944,0.16666666666666666,0.2857142857142857,0.19047619047619047,0.23809523809523808,0.2619047619047619,76.73673134611307,-14,3,2,-14,3,2
03865400,True,Rectangle,E,False,False,0.5153374233128835,0.6503067484662577,0.07975460122699386,0.11904761904761904,0.40476190476190477,0.35714285714285715,0.11904761904761904,0.10714285714285714,130.34106660797522,-78,-63,2,-87,-87,1
1e492759,True,Rectangle,E,False,False,0.6454545454545455,0.7181818181818181,0.05454545454545454,0.15492957746478872,0.38028169014084506,0.23943661971830985,0.19718309859154928,0.16901408450704225,137.85113802673195,-37,-37,1,-64,-64,1
1f8beed4,True,Rectangle,E,False,False,0.6756756756756757,0.7702702702702703,0.10135135135135136,0.14,0.32,0.34,0.19,0.14,109.0039518815497,-96,-78,3,-108,-108,1
